coreType;CPUmodel;numberCPUs;CPU_model_n_cores;tdpCPU;CPU_die_area;usageCPUradio;usageCPU;GPUmodel;numberGPUs;tdpGPU;GPU_die_area;GPU_memory;usageGPUradio;usageGPU;memory;runTime_hour;runTime_min;platformType;locationContinent;locationCountry;locationRegion;provider;serverContinent;server;location;carbonIntensity;PUE;PUEradio;mult_factor;mult_factor_radio;appVersion;energy_needed;carbonEmissions;manufacturing_carbonEmissions;manufacturing_abiotic_resources;runTime;power_needed;CE_CPU;CE_GPU;CE_core;CE_memory;manufacturing_CE_CPU;manufacturing_CE_GPU;manufacturing_CE_memory;manufacturing_CE_other;manufacturing_ADP_CPU;manufacturing_ADP_GPU;manufacturing_ADP_memory;manufacturing_ADP_other
string;string;unit;unit;Watt;cm2;< 1;string;string;unit;Watt;cm2;GB;str;< 1;GB;hour;minutes;string;string;string;string;string;string;string;string;gCO2e/kWh;> 1;string;> 0;string;string;kWh;gCO2e;gCO2e;kgSbe;hour;Watt;gCO2e;gCO2e;gCO2e;gCO2e;gCO2e;gCO2e;gCO2e;gCO2e;kgSbe;kgSbe;kgSbe;kgSbe
CPU;Xeon Platinum 8460Y+;72;40;300;19.08;Yes;0.95;None;0;0;0;0;No;1;256;200000;0;localServer;Europe;Switzerland;CH;None;None;None;CH;40.76;1.25;Yes;2;Yes;v3.1;304180;12398376.799999999;29588085.66526245;4.007679079030889;200000;760.45;10454940;0;10454940;1943436.7999999998;3837995.89322382;0;15603067.184769636;10147022.587268993;1.6764736262833673;0;1.009176294636639;1.322029158110883
